Year (Date),COUNTRY,EPI Indicator Score
1995,China,55.4821276714941
1995,United States of America,0
1995,Malta,39.8615996211981
1995,India,81.0989756087786
1995,Denmark,13.3639273808743
1996,Malta,40.6868225101714
1996,China,54.7428862267279
1996,India,80.2666703476704
1996,Denmark,8.33558364737533
1996,United States of America,0
1997,India,80.0415249946995
1997,Malta,37.4126854451438
1997,Denmark,12.2508956295871
1997,United States of America,0
1997,China,55.054551141469
1998,United States of America,0
1998,India,79.9798432791814
1998,Denmark,13.2452209846628
1998,Malta,41.2547218470861
1998,China,56.3811275787142
1999,Malta,38.7317013010839
1999,United States of America,0
1999,India,79.4627281547489
1999,China,56.2710123164056
1999,Denmark,15.280374169423
2000,Denmark,16.770557730089
2000,China,55.781446034192
2000,Malta,41.8092304092196
2000,United States of America,0
2000,India,79.3036954154836
2001,United States of America,0
2001,India,79.7180074640103
2001,China,55.3343262654047
2001,Malta,37.3373694765295
2001,Denmark,16.4572320195884
2002,India,80.2694169641119
2002,Malta,39.6032278641222
2002,United States of America,0
2002,China,53.0445144997578
2002,Denmark,17.1623647304543
2003,United States of America,0
2003,India,79.6678725187552
2003,Malta,36.3027354092539
2003,China,49.0272761670275
2003,Denmark,15.6053863940987
2004,India,78.8271160953534
2004,United States of America,0
2004,China,45.3226847889232
2004,Denmark,18.2682343833614
2004,Malta,36.4114605628699
2005,United States of America,0
2005,India,78.0794032391991
2005,Denmark,20.0164295487614
2005,Malta,34.967145082349
2005,China,42.2232193938763
2006,Malta,35.8896306980179
2006,India,77.2217484937316
2006,China,39.5179758514591
2006,United States of America,0
2006,Denmark,16.9147346766762
2007,United States of America,0
2007,Malta,34.3829714528441
2007,India,76.0608994447467
2007,Denmark,19.0294472944984
2007,China,37.8491347868835
2008,United States of America,0.439966970438689
2008,India,74.7262096031767
2008,Malta,36.0823347354539
2008,Denmark,20.5234892545597
2008,China,36.226456610255
2009,India,73.0306370331006
2009,Denmark,22.3522088431746
2009,United States of America,2.51870483536982
2009,Malta,37.1150347874334
2009,China,35.0353222261617
2010,United States of America,1.98170212579232
2010,India,73.1618629344908
2010,Denmark,21.7820758536645
2010,China,32.7874037735675
2010,Malta,36.0830211302034
2011,United States of America,2.7131562728374
2011,India,72.0456972362186
2011,Denmark,24.3272672718808
2011,China,30.0985491778812
2011,Malta,36.1913277874084
2012,India,70.6093270506601
2012,United States of America,3.90989768239781
2012,Denmark,26.4314478774683
2012,Malta,35.1316695758844
2012,China,29.4945569376608
2013,United States of America,3.7341983090412
2013,India,70.9182568713425
2013,Malta,38.7967281781682
2013,Denmark,26.1476332815061
2013,China,28.9291069618327
2014,United States of America,3.59337132652142
2014,India,69.167283708488
2014,Malta,39.1850871050648
2014,Denmark,28.7234218466251
2014,China,28.6715191959318
2015,United States of America,4.29749999795496
2015,India,68.6025320179942
2015,Denmark,30.7133180915015
2015,Malta,48.4687307843
2015,China,29.1175349782232
2016,United States of America,5.25277589047298
2016,India,68.3547559881031
2016,China,29.5960037102016
2016,Denmark,30.2727160124188
2016,Malta,53.7391959760631
2017,United States of America,5.54104045354411
2017,India,67.7918510497724
2017,Malta,51.3595934632694
2017,Denmark,32.1867465509461
2017,China,29.2265533198525
2018,United States of America,4.86799148906164
2018,India,66.7666942269125
2018,Denmark,32.203067972909
2018,Malta,43.4383973832687
2018,China,28.8377868589165
2019,India,66.8009785944506
2019,United States of America,5.70220126959929
2019,Denmark,34.4443164889732
2019,China,27.9768501933846
2019,Malta,42.6626452075771